nam,can_chi,mung_1_tet_duong_lich,thu
2025,Ất Tỵ,2025-01-29,Thứ Tư
2026,Bính Ngọ,2026-02-17,Thứ Ba
2027,Đinh Mùi,2027-02-06,Thứ Bảy
2028,Mậu Thân,2028-01-26,Thứ Tư
2029,Kỷ Dậu,2029-02-13,Thứ Ba
2030,Canh Tuất,2030-02-03,Chủ Nhật
2031,Tân Hợi,2031-01-23,Thứ Năm
2032,Nhâm Tý,2032-02-11,Thứ Tư
2033,Quý Sửu,2033-01-31,Thứ Hai
2034,Giáp Dần,2034-02-19,Chủ Nhật
2035,Ất Mão,2035-02-08,Thứ Năm
