ten,nam_cong_nhan,loai,tinh_thanh_2025,ma_unesco
Quần thể di tích Cố đô Huế,1993,Văn hóa,Huế,678
Vịnh Hạ Long – Quần đảo Cát Bà,1994,Tự nhiên,Quảng Ninh / Hải Phòng,672
Phố cổ Hội An,1999,Văn hóa,Đà Nẵng,948
Thánh địa Mỹ Sơn,1999,Văn hóa,Đà Nẵng,949
Vườn quốc gia Phong Nha – Kẻ Bàng,2003,Tự nhiên,Quảng Trị,951bis
Khu trung tâm Hoàng thành Thăng Long,2010,Văn hóa,Hà Nội,1328
Thành nhà Hồ,2011,Văn hóa,Thanh Hóa,1358
Quần thể danh thắng Tràng An,2016,Hỗn hợp,Ninh Bình,1438bis
Quần thể Yên Tử – Vĩnh Nghiêm – Côn Sơn Kiếp Bạc,2025,Văn hóa,Quảng Ninh / Bắc Ninh / Hải Phòng,1732
