ten_ngay_le,ngay_duong_lich,am_lich,so_ngay_nghi_theo_luat,ghi_chu
Tết Dương lịch,2026-01-01,,1,Thứ Năm
Tết Nguyên đán Bính Ngọ (mùng 1),2026-02-17,01/01 ÂL,5,Kỳ nghỉ chính thức kéo dài 9 ngày liên tục theo thông báo của Chính phủ
Giỗ Tổ Hùng Vương,2026-04-26,10/03 ÂL,1,Trùng Chủ nhật — nghỉ bù thứ Hai 27/04
Ngày Chiến thắng 30/4,2026-04-30,,1,Thứ Năm
Ngày Quốc tế Lao động,2026-05-01,,1,Thứ Sáu — kỳ nghỉ liền 4 ngày 30/04–03/05
Quốc khánh,2026-09-02,,2,Nghỉ 2 ngày theo Điều 112 Bộ luật Lao động 2019
